分类目录;机型;储藏条件;商品编号;商品名称（简称）;通用名（注册证名称）;单位;规格;注册证号/备案凭证号;批准文号有效期至;厂商全名
NPT系列;COBAS b 121;0℃-30℃;03111571180;BP1729A/氯电极;氯电极;支;1‘S;国食药监械(进)字2013第2403409号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 121;0℃-30℃;03111598180;BP1730A/免保养钠电极;钠电极;支;1‘S;国食药监械(进)字2013第2403413号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 121;0℃-30℃;03111628180;BP1731A/免保养钾电极;钾电极;支;1‘S;国食药监械(进)字2013第2403411号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 121;0℃-30℃;03111644180;BP1732A/免保养钙电极;钙电极;支;1‘S;国食药监械(进)字2013第2403414号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 121;0℃-30℃;03111679180;BP1733A/二氧化碳电极;二氧化碳分压电极;支;1‘S;国食药监械(进)字2013第2403415号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 121;0℃-30℃;03111695180;BP1734A/氧电极;氧分压电极;支;1‘S;国食药监械(进)字2013第2403410号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 121;0℃-30℃;03111717180;BP1735A/PH电极;pH电极;支;1‘S;国食药监械(进)字2013第2403416号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 123;15℃-25℃;05169992001;Cobas b123检测试剂包 COOX;多项校准品;盒;200测试/包;国食药监械(进)字2014第2403311号;2019-7-3;德国罗氏诊断有限公司
NPT系列;COBAS b 123;15℃-25℃;05170036001;Cobas b123检测试剂包;多项校准品;盒;400测试/包;国食药监械(进)字2011第2402474号;2015-8-2;德国罗氏诊断有限公司
NPT系列;COBAS b 123;2℃-8℃;03321193001;BP9097/多参数分析质控品;血气、电解质和生化分析用多项质控品;盒;30×1.7ml;国械注进20152401553;2020-5-18;德国罗氏诊断有限公司
NPT系列;COBAS b 123;2℃-8℃;03321207001;BP9098/多参数分析质控液;血气、电解质和生化分析用多项质控品2;盒;30×1.7ml;国械注进20152401552;2020-5-18;德国罗氏诊断有限公司
NPT系列;COBAS b 123;2℃-8℃;03321215001;BP9099/多参数分析质控品;血气、电解质和生化分析用多项质控品;盒;30×1.7ml;国械注进20152401554;2020-5-18;德国罗氏诊断有限公司
NPT系列;COBAS h 232;2℃-8℃;11894307193;TNT  Quantitative;肌钙蛋白T定量检测卡（胶体金法）;盒;10个/盒;国械注进20142405154;2019-10-20;德国罗氏诊断有限公司
NPT系列;COBAS h 232;2℃-8℃;04877772190;肌钙蛋白T定量检测卡（232）;肌钙蛋白T定量检测卡（胶体金法）;盒;10个/盒;国械注进20142405154;2019-10-20;德国罗氏诊断有限公司
NPT系列;COBAS h 232;2℃-8℃;04877799190;肌红定量试条（232）;肌红蛋白检测卡（胶体金法）;盒;20个/盒;国食药监械(进)字2011第2401496号;2015-5-3;德国罗氏诊断有限公司
NPT系列;COBAS h 232;2℃-8℃;04877802190;D二聚体检测卡（232）;D二聚体检测卡（胶体金法）;盒;10个/盒;国食药监械(进)字2014第2404912号;2019-9-21;德国罗氏诊断有限公司
NPT系列;COBAS h 232;2℃-8℃;04877900190;肌酸激酶同工酶检测卡（232）;肌酸激酶同工酶检测卡（胶体金法）;盒;10个/盒;国食药监械(进)字2012第2404673号;2016-12-20;德国罗氏诊断有限公司
NPT系列;COBAS h 232;2℃-8℃;05533643190;proBNP试条（232）;脑利钠肽前体检测卡（胶体金法）;盒;10条/盒;国食药监械(进)字2014第2400676号;2018-1-16;德国罗氏诊断有限公司
NPT系列;9180;15℃-30℃;03112349180;BP5186/9180试剂包;电解质检测试剂包;盒;1‘S;国食药监械(进)字2013第2403787号;2017-9-8;德国罗氏诊断有限公司
NPT系列;9180;常温;03110338180;BP0359 钾电极;钾电极;支;1‘S;国食药监械(进)字2012第2400835号;2016-3-15;德国罗氏诊断有限公司
NPT系列;9180;常温;03110354180;BP0360 钙电极;钙电极;支;1‘S;国食药监械(进)字2012第2400838号;2016-3-15;德国罗氏诊断有限公司
NPT系列;9180;0℃-30℃;03111571180;BP1729A/氯电极;氯电极;支;1‘S;国食药监械(进)字2013第2403409号;2017-8-21;德国罗氏诊断有限公司
NPT系列;9180;常温;03110419180;BP0413 钠电极;钠电极;支;1‘S;国食药监械(进)字2012第2400839号;2016-3-15;德国罗氏诊断有限公司
NPT系列;9180;15℃-30℃;03110362180;BP0380/钠电极调整液;电解质检测用钠电极调整液;瓶;125ml;国食药监械(进)字2012第2403538号;2016-9-28;德国罗氏诊断有限公司
NPT系列;9180;15℃-30℃;03110923035;BP1360/HB定标液;血气血红蛋白模块检测用校准品;盒;5×1.2ml;国食药监械(进)字2012第2403541号;2016-9-28;德国罗氏诊断有限公司
NPT系列;9180;15℃-30℃;03111555180;BP1607/91系列清洁液;清洗液;瓶;125ml;非医疗器械;2050-12-31;德国罗氏诊断有限公司
NPT系列;9180;15℃-30℃;03110435180;BP0521/去蛋白液;去蛋白液;瓶;125ml;非医疗器械;2050-12-31;德国罗氏诊断有限公司
NPT系列;9180;15℃-30℃;03112888180;HC0033/AVL质控液（91系列）;电解质检测用质控品;盒;3×10×1.0ml;国食药监械(进)字2013第2404515号;2017-10-15;德国罗氏诊断有限公司
NPT系列;CoaguCheck;2℃-30℃;04625315019;CoaguCheck XS PT Test;凝血酶原时间检测卡（电化学法）;盒;2×24 tests;国食药监械(进)字2013第2403785号;2017-9-8;德国罗氏诊断有限公司
糖化血红蛋白分析系统;D-10;2℃-8℃;220-0101;D-10糖化试剂盒;糖化血红蛋白A1c检测试剂盒（HPLC法）;套;400人份/盒;国食药监械(进)字2014第2400736号;2018-1-23;Bio-Rad Laboratories,Inc.
糖化血红蛋白分析系统;VARIANT II;2℃-8℃;2702101NU;糖化试剂盒;糖化血红蛋白A1c检测试剂盒（HPLC法）;套;1000人份/盒;国食药监械(进)字2013第2402632号;2017-7-7;Bio-Rad Laboratories,Inc.
糖化血红蛋白分析系统;VARIANT II TURBO;2℃-8℃;2702455;糖化血红蛋白A1c检测试剂盒（HPLC法）;糖化血红蛋白A1c检测试剂盒（HPLC法）;盒;2500人份/盒;国食药监械(进)字2012第2404571号;2016-12-13;Bio-Rad Laboratories,Inc.
糖化血红蛋白分析系统;通用;2℃-8℃;740;伯乐糖化质控;糖化血红蛋白质控物;套;2×0.5ml;国食药监械(进)字2013第2401906号;2017-5-14;Bio-Rad Laboratories,Inc.
酶免分析系统;EVOLIS;常温;89611;伯乐TIP头（进口300цl支）;伯乐TIP头;盒;192×5;非医疗器械;2050-12-31;Bio-Rad Laboratories,Inc.
酶免分析系统;EVOLIS;常温;89612;伯乐TIP头（进口1100цl-支）;伯乐TIP头;盒;192×5;非医疗器械;2050-12-31;Bio-Rad Laboratories,Inc.
